structure_no,latitude,longitude,geometry,inside_shakemap,pga
29C0369,37.68083333333333,-121.41614444444446,POINT (-121.41614444444446 37.68083333333333),True,0.001695166458375752
29C0370,37.63008055555556,-121.36108055555555,POINT (-121.36108055555555 37.63008055555556),True,0.0018250218126922846
29C0371,37.623602777777776,-121.34810277777777,POINT (-121.34810277777777 37.623602777777776),True,0.001871153130196035
29C0372,37.59465,-121.33073055555555,POINT (-121.33073055555555 37.59465),True,0.0019182373071089387
29C0373,37.606611111111114,-121.32705277777778,POINT (-121.32705277777778 37.606611111111114),True,0.0019182373071089387
29C0374,37.60127222222222,-121.32514444444445,POINT (-121.32514444444445 37.60127222222222),True,0.0019182373071089387
29C0383,37.66070555555555,-121.43430555555555,POINT (-121.43430555555555 37.66070555555555),True,0.0014371051220223308
29C0475,37.709986111111114,-121.51295833333333,POINT (-121.51295833333333 37.709986111111114),True,0.001572122098878026
29C0481,37.63813611111111,-121.35302777777777,POINT (-121.35302777777777 37.63813611111111),True,0.0018470347858965397
29C0485,37.71239444444445,-121.51302777777778,POINT (-121.51302777777778 37.71239444444445),True,0.001572122098878026
2CA200S30,33.221333333333334,-117.39030555555556,POINT (-117.39030555555556 33.221333333333334),True,0.04371742904186249
32C0056,37.70003055555556,-120.46805833333333,POINT (-120.46805833333333 37.70003055555556),True,0.0016026456141844392
33 0003,37.57455,-121.96950555555556,POINT (-121.96950555555556 37.57455),True,0.0014420811785385013
33 0005,37.60686666666667,-122.02052222222223,POINT (-122.02052222222223 37.60686666666667),True,0.0012124337954446673
33 0012,37.70099722222223,-121.79654444444444,POINT (-121.79654444444444 37.70099722222223),True,0.0014478930970653892
33 0012S,37.70113888888889,-121.796375,POINT (-121.796375 37.70113888888889),True,0.0014478930970653892
33 0013,37.70129722222222,-121.82939166666667,POINT (-121.82939166666667 37.70129722222222),True,0.0013478451874107122
33 0014,37.701633333333334,-121.86509722222222,POINT (-121.86509722222222 37.701633333333334),True,0.0014058222295716405
33 0015L,37.70147777777778,-121.87888888888888,POINT (-121.87888888888888 37.70147777777778),True,0.0013941186480224133
33 0015R,37.70176388888889,-121.87883333333333,POINT (-121.87883333333333 37.70176388888889),True,0.0013941186480224133
33 0016G,37.70196111111112,-121.91968333333334,POINT (-121.91968333333334 37.70196111111112),True,0.0014008911093696952
33 0016L,37.70154166666667,-121.91965,POINT (-121.91965 37.70154166666667),True,0.0014008911093696952
33 0016R,37.70182777777778,-121.91973611111112,POINT (-121.91973611111112 37.70182777777778),True,0.0014008911093696952
33 0026L,37.717869444444446,-121.70018055555556,POINT (-121.70018055555556 37.717869444444446),True,0.0012964745983481407
33 0026R,37.71821388888889,-121.70075277777778,POINT (-121.70075277777778 37.71821388888889),True,0.0012964745983481407
33 0039,37.59423888888889,-121.93086944444445,POINT (-121.93086944444445 37.59423888888889),True,0.0010753637179732323
33 0042,37.59331111111111,-121.88924444444446,POINT (-121.88924444444446 37.59331111111111),True,0.00111633341293782
33 0043,37.59265833333333,-121.88406944444445,POINT (-121.88406944444445 37.59265833333333),True,0.00111633341293782
33 0047,37.57736388888889,-121.87815277777777,POINT (-121.87815277777777 37.57736388888889),True,0.0013763499446213245
33 0066,37.70221666666667,-121.74642777777778,POINT (-121.74642777777778 37.70221666666667),True,0.0013593592448160052
33 0082,37.71648611111112,-122.18590277777778,POINT (-122.18590277777778 37.71648611111112),True,0.001176984515041113
33 0085,37.70312777777778,-121.75901944444445,POINT (-121.75901944444445 37.70312777777778),True,0.0013429784448817372
33 0092,37.63055277777778,-122.11349166666666,POINT (-122.11349166666666 37.63055277777778),True,0.0013263154542073607
33 0114,37.685805555555554,-122.101,POINT (-122.101 37.685805555555554),True,0.0010374244302511215
33 0121L,37.71884444444444,-121.69545555555555,POINT (-121.69545555555555 37.71884444444444),True,0.0012964745983481407
33 0121R,37.71928055555556,-121.695525,POINT (-121.695525 37.71928055555556),True,0.0012964745983481407
33 0150L,37.701544444444444,-121.89773611111112,POINT (-121.89773611111112 37.701544444444444),True,0.0014170447830110788
33 0150R,37.70200555555556,-121.898375,POINT (-121.898375 37.70200555555556),True,0.0014170447830110788
33 0153,37.70111388888889,-121.77355277777778,POINT (-121.77355277777778 37.70111388888889),True,0.0013429784448817372
33 0166,37.69048333333333,-122.13876111111112,POINT (-122.13876111111112 37.69048333333333),True,0.0012549000093713403
33 0169,37.712983333333334,-122.17080833333334,POINT (-122.17080833333334 37.712983333333334),True,0.0011794278398156166
33 0170,37.685275,-122.12969444444444,POINT (-122.12969444444444 37.685275),True,0.0012549000093713403
33 0172,37.68993611111111,-122.13639722222223,POINT (-122.13639722222223 37.68993611111111),True,0.0012549000093713403
33 0173S,37.69062777777778,-122.13722777777778,POINT (-122.13722777777778 37.69062777777778),True,0.0012549000093713403
33 0174,37.68080555555555,-122.12452222222221,POINT (-122.12452222222221 37.68080555555555),True,0.0012622138019651175
33 0175,37.684661111111105,-122.12880833333332,POINT (-122.12880833333332 37.684661111111105),True,0.0012549000093713403
33 0175S,37.68474722222222,-122.12869722222221,POINT (-122.12869722222221 37.68474722222222),True,0.0012549000093713403
33 0176,37.68654722222222,-122.13168333333333,POINT (-122.13168333333333 37.68654722222222),True,0.0012549000093713403
33 0176G,37.68654722222222,-122.13139166666666,POINT (-122.13139166666666 37.68654722222222),True,0.0012549000093713403
33 0179,37.666130555555554,-122.1071861111111,POINT (-122.1071861111111 37.666130555555554),True,0.0013009271351620555
33 0180,37.67641111111111,-122.11773333333333,POINT (-122.11773333333333 37.67641111111111),True,0.0012622138019651175
33 0181,37.65615833333333,-122.10185555555555,POINT (-122.10185555555555 37.65615833333333),True,0.0013283123262226582
33 0189L,37.690549999999995,-122.08862222222221,POINT (-122.08862222222221 37.690549999999995),True,0.0009330656030215323
33 0189R,37.69093611111111,-122.08881388888888,POINT (-122.08881388888888 37.69093611111111),True,0.0009330656030215323
33 0192L,37.69852777777778,-121.9792638888889,POINT (-121.9792638888889 37.69852777777778),True,0.0009970816317945719
33 0192R,37.69886388888889,-121.9791,POINT (-121.9791 37.69886388888889),True,0.0009970816317945719
33 0193L,37.690661111111105,-122.07343888888889,POINT (-122.07343888888889 37.690661111111105),True,0.001114402897655964
33 0193R,37.69105,-122.07348055555555,POINT (-122.07348055555555 37.69105),True,0.001114402897655964
33 0202F,37.690124999999995,-122.09510833333333,POINT (-122.09510833333333 37.690124999999995),True,0.0010374244302511215
33 0202R,37.69085833333333,-122.092675,POINT (-122.092675 37.69085833333333),True,0.0010374244302511215
33 0203,37.699949999999994,-121.78446944444444,POINT (-121.78446944444444 37.699949999999994),True,0.0013098561903461814
33 0211,37.69784444444444,-121.93473333333334,POINT (-121.93473333333334 37.69784444444444),True,0.0012623413931578398
